"","irregular_smoker_1","irregular_smoker_2","irregular_smoker_3","irregular_smoker_4","irregular_smoker_5","irregular_smoker_6","irregular_smoker_7","irregular_smoker_8","irregular_smoker_9","irregular_smoker_10","irregular_smoker_11","irregular_smoker_12","irregular_smoker_13","irregular_smoker_14","irregular_smoker_15","irregular_smoker_16","irregular_smoker_17","irregular_smoker_18","irregular_smoker_19","irregular_smoker_20","regular_smoker_1","regular_smoker_2","regular_smoker_3","regular_smoker_4","regular_smoker_5","regular_smoker_6","regular_smoker_7","regular_smoker_8","regular_smoker_9","regular_smoker_10","regular_smoker_11","regular_smoker_12","regular_smoker_13","regular_smoker_14","regular_smoker_15","regular_smoker_16","regular_smoker_17","regular_smoker_18","regular_smoker_19","regular_smoker_20"
"ENSG00000000003",3087,1624,3424,2370,4006,4586,1588,2436,9079,2960,2450,1040,996,1305,2633,942,854,6839,1221,3444,1237,3101,2376,4673,2018,1459,1728,3943,1398,3018,1686,2624,1369,4774,6616,4577,2261,667,4662,5315
"ENSG00000000005",0,0,1,8,3,0,1,2,3,1,0,1,0,0,5,2,9,150,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0,9,0,0,0,10,1,9
"ENSG00000000419",2389,1588,1700,1290,1433,2629,816,1918,3519,1384,1360,859,737,732,1583,878,689,2512,1129,2569,1662,2763,1027,1715,1252,1031,781,3162,1287,1159,1064,1964,703,974,2332,2329,1792,554,1414,3541
"ENSG00000000457",1171,498,2170,713,820,1512,359,895,1630,1039,591,597,478,929,908,635,789,2889,545,1977,671,1255,599,1975,556,861,490,726,656,444,1167,431,479,838,998,1257,246,716,543,1756
"ENSG00000000460",282,114,457,496,258,311,193,780,1097,204,119,151,275,344,246,150,777,1865,318,545,435,1518,333,594,316,187,218,603,303,323,329,198,140,149,614,823,131,619,161,918
"ENSG00000000938",240,743,263,847,2105,266,783,126,1745,935,1854,901,827,160,1402,589,134,2257,196,678,611,1104,719,421,420,6849,2347,1578,739,1040,1603,634,1004,750,734,3079,275,455,1236,969
"ENSG00000000971",30708,3092,1745,1557,8860,2480,2570,12226,27633,3423,9105,2132,3661,458,2167,1639,5453,4009,565,5604,3503,7770,3196,1191,5928,2589,6229,3114,5681,3828,1294,9239,4353,30096,805,11196,581,2567,8688,7744
"ENSG00000001036",1531,1185,1879,2118,1440,4599,2207,1387,4204,2436,1900,1110,1090,934,2073,949,954,3692,1865,4786,1445,3208,1586,2824,2513,1661,2355,4174,2383,2084,2283,3978,1213,1811,5312,6092,1429,588,1126,4930
"ENSG00000001084",229,967,8258,438,1393,11161,2052,1801,5052,13181,1605,1210,844,600,436,334,2714,764,3262,10284,300,2197,2419,15515,2693,1885,798,8421,2808,17722,496,1895,511,1056,30730,12961,5482,2194,1242,5267
"ENSG00000001167",3812,2268,2702,1602,2119,1538,856,826,6721,2222,910,2780,879,2823,1287,899,1094,5619,572,3013,2990,3046,2044,2931,2179,1300,1390,1571,1692,1416,1343,2229,791,998,1413,2935,952,738,775,3368
